;;;
Stock ID;Stock Name;Volume;Weight
2330;台積電;255262748;45.34
2317;鴻海;126848097;4.84
2454;聯發科;15815470;4.04
2308;台達電;22964417;2.42
2303;聯電;124448563;2.04
2412;中華電;40428596;1.79
2881;富邦金;78375683;1.78
1303;南亞;60043351;1.69
2891;中信金;192939014;1.69
2002;中鋼;131090129;1.53
2882;國泰金;95005672;1.5
2886;兆豐金;118611290;1.42
3711;日月光投控;36182260;1.36
1301;台塑;39651020;1.35
2884;玉山金;144031488;1.34
1216;統一;50957754;1.31
5871;中租-KY;14672618;1.27
2892;第一金;110785946;1.14
5880;合庫金;107278893;1.09
2885;元大金;127315788;1.08
1326;台化;36391201;1.01
2880;華南金;107986824;0.95
3008;大立光;1089871;0.92
1101;台泥;67159392;0.89
2883;開發金;167538568;0.83
3034;聯詠;6083597;0.83
2207;和泰車;3390975;0.8
2327;國巨;4151775;0.8
2357;華碩;7497553;0.79
2382;廣達;28281092;0.79
2890;永豐金;112602968;0.74
2887;台新金;120823585;0.72
3045;台灣大;18341159;0.68
2603;長榮;10691877;0.66
5876;上海商銀;37378886;0.66
6415;矽力*-KY;3440452;0.65
3037;欣興;13375019;0.64
2912;統一超;5966677;0.63
2379;瑞昱;5055733;0.6
1590;亞德客-KY;1658819;0.59
2395;研華;4389937;0.57
1402;遠東新;41703405;0.51
2801;彰銀;70442152;0.47
2609;陽明;18567069;0.46
6505;台塑化;14508408;0.46
2615;萬海;14920323;0.45
4904;遠傳;16982130;0.44
9910;豐泰;4688875;0.37
8046;南電;2232555;0.2
2408;南亞科;8701217;0.19